year,team
2007,DET
2007,GNB
2007,HOU
2007,IND
2007,JAX
2007,KAN
2007,MIA
2007,MIN
2007,NOR
2007,NWE
2007,NYG
2007,NYJ
2007,OAK
2007,PHI
2007,PIT
2007,SDG
2007,SEA
2007,SFO
2007,STL
2007,TAM
2007,TEN
2007,WAS
2008,ARI
2008,ATL
2008,BAL
2008,BUF
2008,CAR
2008,CHI
2008,CIN
2008,CLE
2008,DAL
2008,DEN
2008,DET
2008,GNB
2008,HOU
2008,IND
2008,JAX
2008,KAN
2008,MIA
2008,MIN
2008,NOR
2008,NWE
2008,NYG
2008,NYJ
2008,OAK
2008,PHI
2008,PIT
2008,SDG
2008,SEA
2008,SFO
2008,STL
2008,TAM
2008,TEN
2008,WAS
2009,ARI
2009,ATL
2009,BAL
2009,BUF
2009,CAR
2009,CHI
2009,CIN
2009,CLE
2009,DAL
2009,DEN
2009,DET
2009,GNB
2009,HOU
2009,IND
2009,JAX
2009,KAN
2009,MIA
2009,MIN
2009,NOR
2009,NWE
2009,NYG
2009,NYJ
2009,OAK
2009,PHI
2009,PIT
2009,SDG
2009,SEA
2009,SFO
2009,STL
2009,TAM
2009,TEN
2009,WAS
2010,ARI
2010,ATL
2010,BAL
2010,BUF
2010,CAR
2010,CHI
2010,CIN
2010,CLE
2010,DAL
2010,DEN
2010,DET
2010,GNB
2010,HOU
2010,IND
2010,JAX
2010,KAN
2010,MIA
2010,MIN
2010,NOR
2010,NWE
2010,NYG
2010,NYJ
2010,OAK
2010,PHI
2010,PIT
2010,SDG
2010,SEA
2010,SFO
2010,STL
2010,TAM
2010,TEN
2010,WAS
2011,ARI
2011,ATL
2011,BAL
2011,BUF
2011,CAR
2011,CHI
2011,CIN
2011,CLE
2011,DAL
2011,DEN
2011,DET
2011,GNB
2011,HOU
2011,IND
2011,JAX
2011,KAN
2011,MIA
2011,MIN
2011,NOR
2011,NWE
2011,NYG
2011,NYJ
2011,OAK
2011,PHI
2011,PIT
2011,SDG
2011,SEA
2011,SFO
2011,STL
2011,TAM
2011,TEN
2011,WAS
2012,ARI
2012,ATL
2012,BAL
2012,BUF
2012,CAR
2012,CHI
2012,CIN
2012,CLE
2012,DAL
2012,DEN
2012,DET
2012,GNB
2012,HOU
2012,IND
2012,JAX
2012,KAN
2012,MIA
2012,MIN
2012,NOR
2012,NWE
2012,NYG
2012,NYJ
2012,OAK
2012,PHI
2012,PIT
2012,SDG
2012,SEA
2012,SFO
2012,STL
2012,TAM
2012,TEN
2012,WAS
2013,ARI
2013,ATL
2013,BAL
2013,BUF
2013,CAR
2013,CHI
2013,CIN
2013,CLE
2013,DAL
2013,DEN
2013,DET
2013,GNB
2013,HOU
2013,IND
2013,JAX
